src_code,src_content,dst_code,dst_content
Korean,2 / 4 pcs,Spanish,2 piezas / 4 piezas
Korean,2 / 4 pcs,Chinese (Simplified),2 / 4 件
Korean,2 / 4 pcs,Chinese (Traditional),2 / 4 件
Korean,4 / 8 pcs,Chinese (Simplified),4 / 8 件
Korean,4 / 8 pcs,Chinese (Traditional),4 / 8 件
Korean,2 / 4 pcs,Arabic,2/4 القطع
Korean,2 / 4 pcs,German,2 / 4 Stück
Korean,2 / 4 pcs,Japanese,2 / 4 個
Korean,2 / 4 pcs,Spanish,2 piezas / 4 piezas
Korean,2 / 4 pcs,Vietnamese,2 / 4 miếng
Korean,4 / 8 pcs,Arabic,4/8 القطع
Korean,4 / 8 pcs,German,4 / 8 Stück
Korean,4 / 8 pcs,Japanese,4 / 8 個
Korean,4 / 8 pcs,Spanish,4 piezas / 8 piezas
Korean,4 / 8 pcs,Vietnamese,4 / 8 miếng
Korean,4PC,Arabic,4 قطع
Korean,4PC,English,4 pcs.
Korean,4PC,French,4 pcs
Korean,4PC,German,4 Stück.
Korean,4PC,Japanese,4個
Korean,4PC,Spanish,4 piezas
Korean,4PC,Vietnamese,4 miếng
Korean,HOT ONLY,Arabic,ساخن
Korean,HOT ONLY,Chinese (Simplified),仅提供热饮
Korean,HOT ONLY,Chinese (Traditional),只有熱的
Korean,HOT ONLY,French,Chaud
Korean,HOT ONLY,German,NUR HEISS SERVIERT
Korean,HOT ONLY,Japanese,ホットのみ
Korean,HOT ONLY,Spanish,SOLO CALIENTE
Korean,HOT ONLY,Vietnamese,CHỈ CÓ NÓNG
Korean,"- RE: COTTON 55%, POLY 45%, HH - COTTON 95%, POLYURETHANE 5%",Japanese,"表地：綿 55%, POLY 45%, 裏地: 綿 95%, ポリウレタン 5%"
Korean,"- RE: COTTON 55%, POLY 45%, HH - COTTON 95%, POLYURETHANE 5%",English,"Outer fabric COTTON 55%, POLY 45%, Lining: COTTON 95%, POLYURETHANE 5%"
Korean,"- RE: COTTON 55%, POLY 45%, HH - COTTON 95%, POLYURETHANE 5%",Vietnamese,"Vải bên ngoài: Vải bông 55%, POLY 45%, Lớp lót: COTTON 95%, POLYURETHANE 5%"
Korean,1/,Malay,1 Orang
Korean,1/,Thai,1 ที่
Korean,1/,Vietnamese,1 người
Korean,10-3 Month Season Menu,Spanish,Menú de temporada de Octubre a Marzo
Korean,10-3 Month Season Menu,Japanese,10月から3月までの季節メニュー
Korean,10-3 Month Season Menu,Chinese (Traditional),十至三月時令菜單
Korean,10-3 Month Season Menu,Chinese (Simplified),十月至三月菜单
Korean,10-3 Month Season Menu,English,Oct-Mar Seasonal Menu
Korean,"16,000",English,16000
Korean,166cm / M size,Japanese,166cm / Mサイズ
Korean,166cm / M size,Vietnamese,166cm / Cỡ M
Korean,166cm/ M size,English,166cm / M size
Korean,166cm/ M size,Vietnamese,166cm / Cỡ M
Korean,166cm/ M size,Japanese,166cm / M サイズ
Korean,166cm/F size,Vietnamese,166cm/F cỡ
Korean,166cm/F size,Japanese,166cm/F サイズ
Korean,173cm / M size,Vietnamese,173cm / Cỡ M
Korean,173cm / M size,Japanese,173cm / M サイズ
Korean,175cm/  M size,Vietnamese,175cm / Cỡ M
Korean,175cm/  M size,Japanese,175cm / M サイズ
Korean,175cm/  M size,English,175cm /  M size
Korean,182cm / L size,Vietnamese,182cm / Cỡ L
Korean,182cm / L size,Japanese,182cm / L サイズ
Korean,183cm / L size,Vietnamese,183cm / Cỡ L
Korean,183cm / L size,Japanese,183cm / L サイズ
Korean,"19,000",English,19000
Korean,1966 burger,Chinese (Simplified),1966 汉堡
Korean,1966 burger,Chinese (Traditional),1966 汉堡
Korean,1966 burger,English,1966 Burger
Korean,1966 burger,Indonesian,1966 Burger
Korean,1966 burger,Vietnamese,1966 Burger
Korean,1966 burger,Thai,1966  เบอร์เกอร์
Korean,1966 burger,Japanese,1966 バーガー
Korean,1EA,Chinese (Simplified),1个
Korean,1EA,Chinese (Traditional),1個
Korean,1EA,English,1 ea
Korean,1EA,Japanese,１EA
Korean,1^,Indonesian,1 Porsi
Korean,1^,Malay,1 Orang
Korean,1^,Thai,1 ที่
Korean,1^,Vietnamese,1 người
Korean,1kg,Chinese (Simplified),1公斤
Korean,1kg,English,1 kg
Korean,1kg,Japanese,１kg
Korean,"2,0",Indonesian,2 rb
Korean,"2,0",Spanish,"2,000"
Korean,"2,000",English,2000
Korean,200g,Chinese (Simplified),200克
Korean,200g,English,200 g
Korean,"22,000",English,22000
Korean,"23,000",Chinese (Simplified),19000
Korean,"23,000",English,23000
Korean,2pc,Arabic,قطعتان.
Korean,2pc,English,2 pcs.
Korean,2pc,French,2 pcs
Korean,2pc,German,2 Stück
Korean,2pc,Japanese,2個
Korean,2pc,Spanish,2 piezas
Korean,2pc,Vietnamese,2 miếng
Korean,3,Japanese,３個
Korean,3~4A,English,3~4ppl
Korean,4-9 Month Season Menu,Spanish,Menú de temporada de Abril a Septiembre
Korean,4-9 Month Season Menu,Japanese,4月から9月までの季節メニュー
Korean,4-9 Month Season Menu,English,Apr-Sep Seasonal Menu
Korean,4-9 Month Season Menu,Chinese (Traditional),四至九月時令菜單
Korean,4-9 Month Season Menu,Chinese (Simplified),四月至九月菜单
Korean,"43,000",English,43000
Korean,4pc,Arabic,4 قطع.
Korean,4pc,English,4 pcs.
Korean,4pc,French,4 pcs
Korean,4pc,German,4 Stück.
Korean,4pc,Japanese,4個
Korean,4pc,Spanish,4 piezas
Korean,4pc,Vietnamese,4 miếng
Korean,"6,900",English,6900
Korean,"7,000",English,7000
Korean,"7,900",English,7900
Korean,"8,000",English,8000
Korean,"8,900",English,8900
Korean,"9,000",English,9000
Korean,"ALABV4.5, IBU23",Chinese (Simplified),"Pilsner（ABV4.5, IBU23）"
Korean,"ALABV4.5, IBU23",English,"PilsnerABV4.5, IBU23"
Korean,"ALABV4.5, IBU23",Japanese,"PilsnerABV4.5, IBU23"
Korean,"Assorted BBQ, Green salad, rice noodle, Sweet Nooc-Mam sauce",Chinese (Simplified),所有的烤物、绿色沙拉、米线、甜鱼酱
Korean,"Assorted BBQ, Green salad, rice noodle, Sweet Nooc-Mam sauce",Chinese (Traditional),燒烤拼盤、蔬菜沙拉、米線、甜魚露
Korean,"Assorted BBQ, Green salad, rice noodle, Sweet Nooc-Mam sauce",Japanese,すべてのBBQ、グリーンサラダ、フォー、甘いフィッシュソース
Korean,"Assorted BBQ, Green salad, rice noodle, Sweet Nooc-Mam sauce",Spanish,"Cualquier Barbacoa, Ensalada Verde, Fideos De Arroz, Salsa Dulce De Pescado"
Korean,"Australia , Pinot noir",Japanese,オーストラリア、ピノノワール
Korean,BBQ Chicken Wing,Chinese (Simplified),烤鸡翅
Korean,BBQ Chicken Wing,Chinese (Traditional),烤雞翅
Korean,BBQ Chicken Wing,Japanese,BBQチキンウィング
Korean,BBQ Chicken Wing,Spanish,Alitas de pollo a la barbacoa
Korean,"BBQ Pork Sausages, Spice Noodle Soup",Chinese (Simplified),烤猪肉香肠、香辣米线
Korean,"BBQ Pork Sausages, Spice Noodle Soup",Chinese (Traditional),烤豬肉香腸、辣米線
Korean,"BBQ Pork Sausages, Spice Noodle Soup",Japanese,BBQ豚ソーセージ、スパイシーフォー
Korean,"BBQ Pork Sausages, Spice Noodle Soup",Spanish,"Salchichas De Cerdo A La Barbacoa, Fideos De Arroz Picantes"
Korean,BEER,Chinese (Simplified),啤酒
Korean,BEER,Chinese (Traditional),啤酒
Korean,BEER,Japanese,ビール
Korean,BEER,Spanish,Cerveza
Korean,BEIGE / KHAKI / BLACK,Japanese,ベージュ / カーキ / ブラック
Korean,BEIGE / KHAKI / BLACK,Vietnamese,Màu be / Màu xanh khaki / Màu đen
Korean,BLACK,Japanese,ブラック
Korean,BLACK/CREAM / GRAY,English,BLACK / CREAM / GRAY
Korean,BLACK/CREAM / GRAY,Japanese,ブラック / クリーム / グレー
Korean,BLACK/CREAM / GRAY,Vietnamese,Đen / Kem / Xám
Korean,Banh Xeo,Chinese (Simplified),Bahn Xeo
Korean,Banh Xeo,Chinese (Traditional),Bahn Xeo
Korean,Banh Xeo,English,Bahn Xeo
Korean,Banh Xeo,Japanese,Bahn Xeo
Korean,Banh Xeo,Spanish,Bahn Xeo
Korean,"Blanched Beef, Rice Noodle Soup",Chinese (Simplified),清焯牛肉、米线
Korean,"Blanched Beef, Rice Noodle Soup",Chinese (Traditional),牛肉湯、米線
Korean,"Blanched Beef, Rice Noodle Soup",Japanese,茹でた牛肉、フォー
Korean,"Blanched Beef, Rice Noodle Soup",Spanish,"Carne de res escalfada, fideos de arroz"
Korean,"Blanched Beef, Spicy Rice Noodle Soup",Chinese (Simplified),清焯牛肉、香辣米线
Korean,"Blanched Beef, Spicy Rice Noodle Soup",Chinese (Traditional),牛肉湯、辣米線
Korean,"Blanched Beef, Spicy Rice Noodle Soup",Japanese,ゆで牛肉、スパイシーフォー
Korean,"Blanched Beef, Spicy Rice Noodle Soup",Spanish,"Carne de res escalfada, fideos de arroz picantes"
Korean,"Boiled GalbiBeef Rib, Rice Noodle Soup",Chinese (Simplified),炖排骨、米线
Korean,"Boiled GalbiBeef Rib, Rice Noodle Soup",Chinese (Traditional),燉排骨、米線
Korean,"Boiled GalbiBeef Rib, Rice Noodle Soup",Japanese,カルビチム、フォー
Korean,"Boiled GalbiBeef Rib, Rice Noodle Soup",Spanish,"Galbijjim, fideos de arroz"
Korean,"Boiled down Soft Pig hock, Steamed Rice, Sweet Soy sauce",Chinese (Simplified),水煮猪蹄、米饭、甜酱油
Korean,"Boiled down Soft Pig hock, Steamed Rice, Sweet Soy sauce",Chinese (Traditional),軟糯豬蹄、米飯、甜醬油
Korean,"Boiled down Soft Pig hock, Steamed Rice, Sweet Soy sauce",Japanese,柔らかいゆで豚足、ご飯、甘口醤油
Korean,"Boiled down Soft Pig hock, Steamed Rice, Sweet Soy sauce",Spanish,"Jokbal hervidas suaves, arroz, salsa de soja dulce"
Korean,"CABV4.5, IBU27",Chinese (Simplified),Dark Ale（ABV4.5，IBU27）
Korean,"CABV4.5, IBU27",English,"Dark AleABV4.5, IBU27"
Korean,"CABV4.5, IBU27",Japanese,"Dark AleABV4.5, IBU27"
Korean,CGP. INFLUENCER STYLING,Japanese,CGP. インフルエンサースタイリング
Korean,CGP. INFLUENCER STYLING,Vietnamese,CGP. Phong cách của người ảnh hưởng
Korean,CGP. TECH SET UP,Vietnamese,CGP. Cài đặt công nghệ
Korean,CGP. TECH SET UP,Japanese,CGP. テックセットアップ
Korean,CHARCOAL,Vietnamese,than củi
Korean,CHARCOAL,Japanese,シャルコア
Korean,COLOR,Japanese,色
Korean,COLOR,Vietnamese,MÀU
Korean,COLOR / SIZE,Vietnamese,Màu sắc / Cỡ
Korean,COLOR / SIZE,Japanese,色 / サイズ
Korean,COLOR / SIZE,Japanese,色 / サイズ
Korean,COLOR / SIZE,Vietnamese,MÀU / Cỡ
Korean,COLOR/SIZE,Vietnamese,MÀU / Cỡ
Korean,COLOR/SIZE,Japanese,色 / サイズ
Korean,COLOR/SIZE,English,COLOR / SIZE
Korean,COTTON 54 POLY 46,Japanese,綿 54 ポリエステル 46
Korean,COTTON 54 POLY 46,Vietnamese,"Thành phần: Vải bông 54%, POLY 46%"
Korean,"COTTON 54%, POLY 46%",Japanese,"綿 54%, ポリエステル 46%"
Korean,"COTTON 58%, POLY 42%",Japanese,"混率：綿 58%, ポリエステル 42%"
Korean,"COTTON 58%, POLY 42%",Vietnamese,"Thành phần: Vải bông 58%, POLY 42%"
Korean,COTTON 70 POLY 30,Japanese,綿 70 ポリエステル 30
Korean,COTTON 70 POLY 30,Vietnamese,Vải bông 70 POLY 30
Korean,COTTON 75 POLY 25,Vietnamese,Vải bông 75 Polyester 25
Korean,CREAM/BALCK,English,CREAM / BLACK
Korean,CREAM/BALCK,Japanese,クリーム / ブラック
Korean,CREAM/BALCK,Vietnamese,MÀU KEM / ĐEN
Korean,"Chile , Chardonnay",Japanese,チリ、シャルドネ
Korean,Chinatown,Japanese,チャイナタウン
Korean,Chinatown,Spanish,Barrio Chino
Korean,"Cocktail, Wine, Baijiu, Tequila, Beer, Soft Drink",Spanish,"Cócteles, Vino, Baijiu, Tequila, Cerveza, Gaseosas"
Korean,"Cocktail, Wine, Baijiu, Tequila, Beer, Soft Drink",Chinese (Traditional),雞尾酒、葡萄酒、白酒、龍舌蘭酒、啤酒、碳酸飲料
Korean,"Cocktail, Wine, Baijiu, Tequila, Beer, Soft Drink",Chinese (Simplified),鸡尾酒、葡萄酒、白酒、龙舌兰酒、啤酒、碳酸饮料
Korean,"Cocktail, Wine, Baijiu, Tequila, Beer, Soft Drink",Japanese,カクテル、ワイン、白酒、テキーラ、ビール、ソフトドリンク
Korean,Coffee & Drink,Japanese,コーヒー＆飲み物
Korean,Coffee & Drink,Chinese (Simplified),咖啡 & 饮料
Korean,Coke,Chinese (Simplified),可乐
Korean,Coke,Chinese (Traditional),可樂
Korean,Coke,Japanese,コーラ
Korean,Coke,Spanish,Coca-cola
Korean,DRINK,Chinese (Simplified),饮料
Korean,DRINK,Chinese (Traditional),飲料
Korean,DRINK,Japanese,ドリンク
Korean,DRINK,Spanish,Bebidas
Korean,"Dimsum, Vegetable, Seafood, Meat, Noodle & Rice, Side",Chinese (Traditional),點心、蔬菜、海鮮、肉類、  麵條&米飯、配菜
Korean,"Dimsum, Vegetable, Seafood, Meat, Noodle & Rice, Side",Chinese (Simplified),点心、蔬菜、海鲜、肉类、面条和米饭、配菜
Korean,"Dimsum, Vegetable, Seafood, Meat, Noodle & Rice, Side",Japanese,点心、野菜、海産物、肉、  麺&ご飯、サイドディッシュ
Korean,"Dimsum, Vegetable, Seafood, Meat, Noodle & Rice, Side",Spanish,"Dim sum, Vegetales, Mariscos, Carnes,  Fideos y Arroz, Guarnición"
Korean,Drinks,Japanese,ドリンク
Korean,El,Arabic,شاي
Korean,El,Chinese (Simplified),茶
Korean,El,Russian,Чай
Korean,FABRIC,Japanese,生地
Korean,FABRIC,Vietnamese,Vải
Korean,FABRIC VIEW,Vietnamese,Xem vải
Korean,FABRIC VIEW,Japanese,生地ビュー
Korean,FIND YOUR SELFIE,Japanese,自撮りを見つける
Korean,FREE,Japanese,フリー
Korean,Fabric View,Japanese,生地ビュー
Korean,Fabric View,Vietnamese,Xem vải
Korean,Fashion fruit juice,English,Passion Fruit Juice
Korean,Fashion fruit juice,Chinese (Simplified),百香果汁
Korean,Fashion fruit juice,Chinese (Traditional),百香果汁
Korean,Fashion fruit juice,Japanese,パッションフルーツ ジュース
Korean,Fashion fruit juice,Spanish,Jugo de maracuyá
Korean,"France , Chardonnay",Japanese,フランス、シャルドネ
Korean,"France , Chardonnay",Chinese (Traditional),"法國 , 霞多麗"
Korean,"France , Chardonnay",Chinese (Simplified),"法国 , 霞多丽"
Korean,"France , Chenin Blanc",Japanese,"フランス ,シュナン・ブラン"
Korean,"France , Chenin Blanc",Chinese (Simplified),"法国,白诗南"
Korean,"France , Grenache",Chinese (Simplified),"法国 , 格勒纳赫"
Korean,"France , Grenache",Chinese (Traditional),"法國 , 格勒納赫"
Korean,"France , Grenache",Japanese,フランス、グレナッシュ
Korean,"France , Pinot noir",Chinese (Traditional),"法國 , 黑皮諾"
Korean,"France , Pinot noir",Chinese (Simplified),"法国 , 黑皮诺"
Korean,"France , Pinot noir",Japanese,フランス、ピノノワール
Korean,"France , Pinot noir",Arabic,فرنسا، بينوت نوار
Korean,"France , Sauvignon Blane",English,"France , Sauvignon Blanc"
Korean,"France , Sauvignon Blane",Japanese,フランス、ソーヴィニョン·ブラン
Korean,"France , Sauvignon Blane",Chinese (Simplified),"法国,索维尼翁·布朗克"
Korean,"France , Sauvignon Blane",Chinese (Traditional),"法國 , 索維尼翁·布朗克"
Korean,"France , Sauvignon Blane",Spanish,"Francia , Sauvignon Blanc"
Korean,"France , Sauvignon Blane",French,"France, Sauvignon Blanc"
Korean,"France , Sauvignon Blane",Arabic,فرنسا، سوفينيون بلانك
Korean,"France , Syrah Grenache",Japanese,フランス、シラ·グレナッシュ
Korean,Fresh Cucumber Salad,Chinese (Simplified),鲜黄瓜沙拉
Korean,Fresh Cucumber Salad,Chinese (Traditional),鮮黃瓜沙拉
Korean,Fresh Cucumber Salad,Japanese,生キュウリサラダ
Korean,Fresh Cucumber Salad,Spanish,Ensalada De Pepino Crudo
Korean,"Fried Noodle, Seafood, Vegetable, Spicy sauce",Chinese (Simplified),炒面、海鲜、蔬菜、辣酱
Korean,"Fried Noodle, Seafood, Vegetable, Spicy sauce",Chinese (Traditional),炒麵、海鮮、蔬菜、辣醬
Korean,"Fried Noodle, Seafood, Vegetable, Spicy sauce",Japanese,炒め麺、海鮮、野菜、辛いソース
Korean,"Fried Noodle, Seafood, Vegetable, Spicy sauce",Spanish,"Fideos salteados, mariscos, verduras, salsa picante"
Korean,Fried Seafood Netted Spring Roll,Chinese (Simplified),炸海鲜网春卷
Korean,Fried Seafood Netted Spring Roll,Chinese (Traditional),炸海鮮米紙春捲
Korean,Fried Seafood Netted Spring Roll,Japanese,揚げたて海鮮網春巻き
Korean,Fried Seafood Netted Spring Roll,Spanish,Rollitos de primavera de red de mariscos fritos
Korean,"Fried noodle, Pork ""bulgogi"", Morning glory, Sweet Soy sauce",Japanese,炒め麺、豚肉プルコギ、空芯菜、甘口醤油
Korean,"Fried noodle, Pork ""bulgogi"", Morning glory, Sweet Soy sauce",Chinese (Traditional),炒麵、烤豬肉、空心菜、甜醬油
Korean,"Fried noodle, Pork ""bulgogi"", Morning glory, Sweet Soy sauce",Chinese (Simplified),炒面、烤猪肉、空心菜、甜酱油
Korean,"Fried noodle, Pork ""bulgogi"", Morning glory, Sweet Soy sauce",Spanish,"Fideos salteados, bulgogi de cerdo, kangkong, salsa de soja dulce"
Korean,GREEN/NAVY / BLACK WHITE/ M.GRAY/CREAM / BURGUNDY,Japanese,グリーン/ネイビー/ブラックホワイト/メランジグレー/クリーム/バーガンディ
Korean,GREEN/NAVY / BLACK WHITE/ M.GRAY/CREAM / BURGUNDY,English,GREEN/NAVY / BLACKWHITE / M.GRAY / CREAM / BURGUNDY
Korean,GREEN/NAVY / BLACK WHITE/ M.GRAY/CREAM / BURGUNDY,Vietnamese,XANH / DƯƠNG / ĐENTRẮNG / XÁM NHẠT / KEM / ĐỎ RƯỢU
Korean,"Germany , Riesling",Japanese,ドイツ、リースリング
Korean,"Greece , Cabernet Sauvignon",Japanese,ギリシャ、カベルネ·ソーヴィニョン
Korean,"Greece, Malagousia",Japanese,ギリシャ、マラゴシア
Korean,HAND WASH,Japanese,手洗い
Korean,HAND WASH,Vietnamese,Giặt tay
Korean,"HOABV4.5, IBU15",Chinese (Simplified),Weizen（ABV4.5，IBU15）
Korean,"HOABV4.5, IBU15",English,"WeizenABV4.5, IBU15"
Korean,"HOABV4.5, IBU15",Japanese,"WeizenABV4.5, IBU15"
Korean,Hanoi,Chinese (Simplified),河内
Korean,Hanoi,Chinese (Traditional),河內
Korean,Hanoi,Japanese,ハノイ
Korean,INDI PINK,Japanese,インディーピンク
Korean,INFO,Japanese,情報
Korean,Iime,Arabic,الجير
