src_code,src_content,dst_code,dst_content
Arabic,ريش لحم,Korean,Риаш из баранины
Vietnamese,"Giá trên cha: bao gồm VAT, Hình ảnh có thể khác so với thực tế.",Korean,Prices do not include VAT. Images may vary from actual food.
Chinese (Simplified),냉면,Korean,出知名品
Japanese,¥1080,Korean,¥
Japanese,¥1280,Korean,¥
Japanese,¥480,Korean,¥
Japanese,¥580,Korean,¥
Japanese,¥680,Korean,¥
Japanese,イモレモ,Korean,IMOLEMO
Japanese,オススメ。,Korean,おすすめ
Japanese,ジェー ジェー,Korean,JJ
Japanese,￥,Korean,¥
Chinese (Traditional),飲品,English,飲み物
Korean,강원도에서 산지직송한 더덕을 특제 양념에 숙성해 직화로 구워 쌉싸름한 향이 일품인 메뉴입니다.,English,江原道から直送されたデウトを特製の調味料で熟成させて直火で焼き、渋みのある香りが特徴のメニューです。
Korean,"선명한 녹색 컬러에 타르트 구스베리와 미네랄 같은 산미가 가미된 하얀 자몽 제스트, 레몬 커드 노트, 섬세한 감귤류 꽃 향을 느낄 수 있는 와인이다.",English,一款清澈的绿色葡萄酒，混合了酸酸的醋栗和矿物质般的酸度，带有柠檬奶油的气息和精致的柑橘花香味。
Arabic,ريش لحم,Japanese,양고기 리아시
